StudentID,InMotif_1,InMotif_2,InMotif_3,SelfEff_1,SelfEff_2,SelfEff_3,Teacher_1,Teacher_2,Teacher_3,ExMotif_1,ExMotif_2,ExMotif_3,Gender,NumBook,NumDevice,EdMother,EdFather,Region
72,2.6174,-1.536,0.4714,2.0852,-0.6363,0.4789,-2.9118,1.9642,2.1346,-0.0801,-0.5782,0.1375,2,2,4,3,2,TWN
73,-0.9175,0.8588,0.4216,-1.413,-0.143,-0.8633,-0.9715,-0.2123,-1.0335,-1.0803,-0.0281,0.1558,1,4,5,4,3,TWN
74,0.7682,0.6881,-0.4334,-0.1191,0.4163,0.2191,-0.1961,0.9907,0.3588,-0.0274,0.8408,-0.1742,1,2,3,3,7,TWN
75,-0.682,0.2447,-0.0416,-1.7177,-0.8264,0.7869,1.6336,-0.2878,0.2799,-1.0075,-0.0491,1.2934,1,3,4,3,3,TWN
76,4.0985,-1.0533,0.2763,-2.7545,0.0284,0.0167,-4.5835,0.632,-0.5587,5.3443,1.172,0.8401,2,3,3,7,7,TWN
77,-4.0251,0.6724,-0.0451,-1.107,0.1961,-0.936,3.9572,-0.6492,0.252,0.9902,0.2216,0.8217,1,1,3,4,4,TWN
78,1.124,-0.5654,0.1107,4.383,0.0977,-0.2158,-2.2234,-0.6714,1.0525,3.0171,-0.0309,0.6002,2,3,4,3,2,TWN
79,3.7878,-1.2337,-0.2925,-0.4211,-0.4334,0.4428,0.5155,2.8538,-2.2596,-0.0284,-1.6423,0.801,1,1,2,1,2,TWN
80,-2.4699,0.6125,0.053,-0.4318,-0.5948,-0.2064,3.1647,0.6043,0.1293,-0.0389,-0.7824,-0.4511,1,2,5,3,3,TWN
81,-3.8033,-0.056,0.4681,0.5196,0.197,-0.0775,1.2503,-0.5301,0.0382,-0.0274,0.8408,-0.1742,2,3,4,3,3,TWN
82,1.0575,-1.4839,0.1154,0.5288,-1.0289,-0.5774,-1.2507,-0.7937,-0.1662,-1.4511,0.4915,-0.7132,1,1,3,3,2,TWN
83,0.3169,0.6675,0.5005,-0.0663,-0.1638,-0.6859,-1.7522,1.1794,-0.1483,1.3711,0.2228,0.4886,1,2,3,4,6,TWN
84,-0.3612,0.3762,-0.0224,-1.0229,-0.3347,-0.5821,2.4474,0.1292,-0.6366,0.6508,0.1087,0.1056,2,2,4,3,3,TWN
85,-2.6382,1.1367,-0.0484,1.557,1.0561,-0.998,4.1672,-1.1111,0.3367,-1.0461,-1.0231,-0.1949,2,4,5,2,3,TWN
86,-4.3683,0.5507,-0.1246,-1.015,0.4704,-0.188,0.9914,-0.1057,-0.0067,-0.7463,1.5032,-1.558,1,2,3,4,8,TWN
87,1.2031,-0.6446,-0.4437,2.1338,0.286,-0.1418,-2.421,0.428,1.5207,1.6663,0.7036,0.8563,2,4,3,1,3,TWN
88,-4.0251,0.6724,-0.0451,-0.3792,1.7325,-0.8374,4.1672,-1.1111,0.3367,-2.0385,0.5634,-1.3147,2,4,2,6,4,TWN
89,-3.0262,1.0951,0.497,-0.7591,-0.3772,-0.9552,2.863,0.3218,-0.6074,2.364,1.8624,0.1331,2,2,3,1,3,TWN
90,-4.0475,0.6821,-0.1054,-2.6305,0.2483,-0.0196,0.7035,-1.0242,-1.1846,-0.0136,0.1849,-0.575,2,2,4,3,3,TWN
91,-0.9924,-1.2895,-0.0101,-1.0649,-0.585,0.5368,-0.6641,-1.6645,-0.0528,-0.0274,0.8408,-0.1742,2,2,2,8,3,TWN
92,4.4548,-0.9716,0.2499,5.4121,0.9902,0.4949,-2.5285,2.2064,2.3763,5.9591,0.7469,-0.3381,2,2,3,8,2,TWN
93,0.7321,0.7072,0.2732,-2.6321,-0.0527,-0.3151,-2.0974,-0.1626,-0.2242,4.704,0.3813,0.6622,1,5,3,8,8,TWN
94,1.9487,-1.7969,0.1147,0.5835,-0.1356,0.1408,-2.4807,-0.4049,-0.4658,2.0168,-0.3781,-0.5129,1,3,2,6,6,TWN
95,4.4548,-0.9716,0.2499,4.3226,-0.5192,-0.6454,-3.6784,1.4797,1.6513,5.0271,0.055,-0.0174,2,1,3,3,2,TWN
96,0.7682,0.6881,-0.4334,-0.3457,0.3754,1.4537,-3.351,0.9944,0.5977,2.9659,0.7939,-0.2562,2,5,4,2,2,TWN
97,1.0789,0.8685,0.1354,-0.1191,0.4163,0.2191,-4.2818,0.9145,0.178,1.6121,-0.7528,0.612,2,1,4,6,6,TWN
98,1.9159,-0.3844,0.0037,2.1289,0.6093,-0.4313,2.1304,-0.1744,-1.308,2.003,0.2777,-0.1121,1,5,5,8,8,TWN
99,1.0789,0.8685,0.1354,-1.6653,1.1265,0.4777,-0.5663,0.7296,-0.3748,2.023,0.8804,0.8783,2,5,4,6,4,TWN
100,-2.8373,0.5016,0.0989,-0.3775,-0.4781,0.3745,-0.2045,2.7241,-0.6201,0.9902,0.2216,0.8217,2,3,5,6,3,TWN
101,0.4118,0.6065,-0.407,1.4947,-0.1314,-0.3412,-0.3344,-0.3822,-1.0337,2.5372,-4.4626,2.3822,2,4,4,4,4,TWN
102,-4.0251,0.6724,-0.0451,0.833,0.4559,-1.2033,2.8841,-0.6807,0.0014,-1.6645,-0.669,0.9279,1,4,5,4,3,TWN
103,-4.0475,0.6821,-0.1054,-3.2755,0.4325,0.2749,1.8648,-1.7522,0.9734,1.7389,0.2803,3.0841,2,2,4,3,3,TWN
104,0.4474,0.5567,-0.4527,3.5266,0.1692,3.7019,-3.4361,-0.4209,-0.7327,-1.0875,0.4287,-0.3522,2,2,3,1,2,TWN
105,4.4548,-0.9716,0.2499,4.2605,-1.3324,-0.3104,-3.5197,1.2363,-1.5284,5.2879,0.9297,0.3506,2,1,3,2,2,TWN
106,-2.0587,-0.2686,-0.5878,-0.7719,0.1749,0.4692,0.5605,-0.3193,0.0293,-1.3148,0.0572,-0.0185,2,4,4,7,7,TWN
107,-1.4404,0.0833,0.1061,-1.9871,-0.2369,-0.6096,0.507,0.7603,-0.0977,1.7072,1.0485,-0.169,1,2,3,8,8,TWN
108,-1.0165,-0.001,0.9156,-2.6314,-0.0334,-0.5763,0.572,-0.4037,-0.7271,0.9951,0.8863,1.5449,1,3,4,1,3,TWN
109,3.5878,-0.6694,0.1251,0.5304,-0.6335,0.1364,-0.7995,0.4256,-1.1145,2.6483,-0.023,0.724,2,3,3,6,6,TWN
110,-3.6099,0.7121,-0.2724,-1.7063,-0.5058,0.8163,2.3518,0.2148,0.1616,-0.7064,-0.8177,0.0606,1,1,2,6,6,TWN
111,0.6508,0.7588,0.4138,1.7577,-0.7931,0.052,-2.5369,1.4502,0.8033,1.3267,0.4982,0.6007,2,4,5,3,3,TWN
112,-1.8078,-0.0276,0.152,0.8496,0.1196,0.6885,0.4362,-0.9859,-0.1674,1.0588,-0.2294,0.3544,2,3,3,4,3,TWN
113,1.5138,-0.4642,0.125,-2.626,-0.6174,0.1921,-2.575,-0.3738,0.2783,4.3917,-0.071,0.528,2,2,4,8,8,TWN
114,4.0112,0.4852,-0.7766,2.7813,-0.3578,0.086,-4.0718,0.4526,0.2627,2.6857,0.7595,0.4543,2,2,4,3,2,TWN
115,-3.1718,0.2558,1.0562,-1.0934,0.9227,-0.6967,1.0403,-0.0682,-0.0465,-0.3533,-0.0205,-0.8305,2,3,4,3,3,TWN
116,-3.0504,1.1059,0.6225,-2.307,-0.568,-0.4871,1.5247,-0.9342,0.0445,3.3782,1.0748,1.7331,1,4,3,4,7,TWN
117,1.1464,-0.5751,0.171,2.1421,0.3565,-0.0368,-0.8275,-0.6136,-0.4925,2.2717,-0.8025,-0.2885,2,2,4,6,7,TWN
118,0.9211,0.1137,-0.1249,0.2032,0.2878,0.6189,-3.2793,-0.8009,0.3854,0.5993,0.5311,0.3394,2,3,3,3,4,TWN
119,-0.682,0.2447,-0.0416,1.1585,0.5775,-0.8792,-0.1415,-0.7065,0.5631,1.3147,0.489,0.81,2,1,4,3,2,TWN
120,2.804,-0.7064,-0.4406,-0.3732,-0.7847,-1.17,-0.4767,-0.2943,0.231,4.3712,0.0694,-0.9626,2,3,3,2,3,TWN
121,1.193,-0.5956,0.1058,0.2105,-0.9646,0.2589,-0.0929,1.6903,1.3499,-0.0274,0.8408,-0.1742,2,2,2,4,4,TWN
122,-0.3612,0.3762,-0.0224,-0.7844,0.6674,-1.0413,0.7908,-0.7844,-0.4906,1.3984,-0.024,0.61,2,1,4,8,3,TWN
123,-1.8521,1.327,-0.539,-2.6314,-0.0334,-0.5763,0.507,0.7603,-0.0977,0.2907,0.2424,-0.2,2,5,2,4,4,TWN
124,-3.0664,-1.0843,-0.0102,-1.03,1.049,1.1972,2.0149,-0.1499,-0.865,-1.4654,1.8903,-0.8126,2,4,5,3,6,TWN
125,1.5138,-0.4642,0.125,-1.0766,-1.5424,0.0114,-3.9544,0.4293,-0.8757,0.2817,-0.2857,1.3196,1,1,2,3,2,TWN
126,0.7513,-1.4834,-1.0959,-2.6314,-0.0334,-0.5763,-0.5734,-0.3024,0.5219,-0.0641,-1.7496,-0.3272,2,5,3,6,7,TWN
127,3.9311,-0.5477,0.2047,-0.1278,-0.2909,-0.3819,-4.5835,0.632,-0.5587,2.6435,-0.6877,0.0007,1,3,4,3,2,TWN
128,0.9487,0.1425,-0.4677,0.2008,0.7475,0.0966,-2.2397,-0.0747,1.0405,2.6584,1.0064,0.3329,2,3,2,3,8,TWN
129,-3.1151,0.1863,0.4415,-0.4414,-0.5868,-0.2572,1.1631,0.5329,-0.1143,-0.3519,0.5733,-0.1626,2,1,5,2,3,TWN
130,-1.8622,1.376,0.0105,-2.626,-0.6174,0.1921,3.4391,0.2002,0.1355,-2.3427,0.0631,0.6481,1,3,4,7,6,TWN
131,-3.623,0.7522,-0.1665,-3.2755,0.4325,0.2749,2.8101,0.4029,0.4525,-3.0207,0.8877,-0.0923,1,4,5,6,6,TWN
132,1.0789,0.8685,0.1354,0.8567,-1.2641,-1.0909,-1.2357,0.2645,-0.2962,1.0418,-0.2009,0.5879,1,2,5,3,3,TWN
133,-0.3958,0.4073,0.0531,-0.7513,-0.2891,0.4121,0.7322,0.3193,-0.0782,-0.0274,0.8408,-0.1742,2,2,3,3,3,TWN
134,-4.0251,0.6724,-0.0451,-1.732,-0.1924,-0.1841,4.1672,-1.1111,0.3367,-1.3064,1.1027,0.1304,2,5,4,4,6,TWN
135,-1.2382,-2.9718,-0.2961,-0.1191,0.4163,0.2191,-0.6641,-1.6645,-0.0528,-0.0274,0.8408,-0.1742,2,2,5,6,6,TWN
136,-0.075,0.5387,0.0723,0.5098,0.1681,-1.1294,0.2681,0.47,-1.1773,1.2679,-0.8391,-1.6852,1,2,3,4,3,TWN
137,2.9076,-0.8914,-0.3114,-0.0454,1.9614,0.5928,-3.8246,-0.6382,-0.4615,0.591,0.4867,-1.2971,1,1,4,8,2,TWN
138,1.5138,-0.4642,0.125,2.7767,0.6023,0.2925,-3.581,-1.0835,-0.3512,1.9908,0.9711,0.8446,1,4,5,7,4,TWN
139,-1.0252,0.123,-0.1212,-2.3114,0.3346,0.3023,-0.8804,-0.5325,0.5674,1.682,0.0813,-0.0451,1,2,3,6,3,TWN
140,-1.1306,0.1855,0.1449,-0.0547,-0.2713,0.4981,2.9927,-0.0336,0.2103,0.0048,1.2587,0.6704,2,5,3,3,6,TWN
141,-0.2992,-0.067,0.3153,-1.0162,-0.3531,0.2529,3.3049,-1.2519,-1.1816,1.7243,-0.3202,0.8039,2,3,4,3,8,TWN
